sdate,isalive,islock,vendor,gci,cellname,isp,nettype,gnodebid,cellid,tac,share,shareBandwidth,Bandwidth,nref,pci,arfcnDL,band
2022-08-10 23:24:48,1,0,爱立信,2350374+1025,CZ_QX_LHZbeiwangzhuangxinan2100MTTERR-2-share,联通,SA,2350374,1025,2350081,1,20,20,428910,85,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350374+1024,CZ_QX_LHZbeiwangzhuangxinan2100MTTERR-1-share,联通,SA,2350374,1024,2350081,1,20,20,428910,84,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344569+1026,CZ_CX_DGTXchapengcunbei2100MTTERR-3-share,联通,SA,2344569,1026,2344194,1,20,20,428910,23,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344569+1025,CZ_CX_DGTXchapengcunbei2100MTTERR-2-share,联通,SA,2344569,1025,2344194,1,20,20,428910,22,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344569+1024,CZ_CX_DGTXchapengcunbei2100MTTERR-1-share,联通,SA,2344569,1024,2344194,1,20,20,428910,21,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2297888+258,BDDZ_LianTongJiaShuYuan3500MERR-share_3,联通,SA,2297888,258,2297860,1,100,100,633984,578,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2297888+257,BDDZ_LianTongJiaShuYuan3500MERR-share_2,联通,SA,2297888,257,2297860,1,100,100,633984,577,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2297888+256,BDDZ_LianTongJiaShuYuan3500MERR-share_1,联通,SA,2297888,256,2297860,1,100,100,633984,576,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303883+1025,BDZZ_FuMinTunCun_YD2100MERR-share_2,联通,SA,2303883,1025,2303748,1,20,20,428910,322,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303883+1024,BDZZ_FuMinTunCun_YD2100MERR-share_1,联通,SA,2303883,1024,2303748,1,20,20,428910,321,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303883+1026,BDZZ_FuMinTunCun_YD2100MERR-share_3,联通,SA,2303883,1026,2303748,1,20,20,428910,323,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301453+261,BDBG_NanLiuCunDong3500MERR-share_3,联通,SA,2301453,261,2301440,1,100,100,633984,560,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301453+256,BDBG_HongKangLu3500MERR-share_1,联通,SA,2301453,256,2301440,1,100,100,633984,234,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301453+259,BDBG_NanLiuCunDong3500MERR-share_1,联通,SA,2301453,259,2301440,1,100,100,633984,558,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301453+260,BDBG_NanLiuCunDong3500MERR-share_2,联通,SA,2301453,260,2301440,1,100,100,633984,559,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301453+258,BDBG_HongKangLu3500MERR-share_3,联通,SA,2301453,258,2301440,1,100,100,633984,236,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301453+257,BDBG_HongKangLu3500MERR-share_2,联通,SA,2301453,257,2301440,1,100,100,633984,235,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350349+1025,CZ_QX_JNZshuangzhuangkecun2100MTTERR-2-share,联通,SA,2350349,1025,2350081,1,20,20,428910,469,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350349+1024,CZ_QX_JNZshuangzhuangkecun2100MTTERR-1-share,联通,SA,2350349,1024,2350081,1,20,20,428910,468,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350349+1026,CZ_QX_JNZshuangzhuangkecun2100MTTERR-3-share,联通,SA,2350349,1026,2350081,1,20,20,428910,470,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303880+1024,BDZZ_LiuDangMoCunXi_ZhongTuo2100MERR-share_1,联通,SA,2303880,1024,2303748,1,20,20,428910,207,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303880+1025,BDZZ_LiuDangMoCunXi_ZhongTuo2100MERR-share_2,联通,SA,2303880,1025,2303748,1,20,20,428910,208,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303880+1026,BDZZ_LiuDangMoCunXi_ZhongTuo2100MERR-share_3,联通,SA,2303880,1026,2303748,1,20,20,428910,209,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301493+257,BDBG_FengHuangCheng11HaoLou3500MERR-share_2,联通,SA,2301493,257,2301441,1,100,100,633984,133,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301493+258,BDBG_FengHuangCheng11HaoLou3500MERR-share_3,联通,SA,2301493,258,2301441,1,100,100,633984,134,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301493+260,BDBG_ShiSanZhan3500MERR-share_2,联通,SA,2301493,260,2301440,1,100,100,633984,571,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301493+261,BDBG_ShiSanZhan3500MERR-share_3,联通,SA,2301493,261,2301440,1,100,100,633984,572,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301493+259,BDBG_ShiSanZhan3500MERR-share_1,联通,SA,2301493,259,2301440,1,100,100,633984,570,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301493+256,BDBG_FengHuangCheng11HaoLou3500MERR-share_1,联通,SA,2301493,256,2301441,1,100,100,633984,132,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2304177+1154,BDZZ_BeiLuXinCun2-SF-2100MERR-share_3,联通,SA,2304177,1154,2303744,1,20,20,428910,887,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304177+1153,BDZZ_BeiLuXinCun2-SF-2100MERR-share_2,联通,SA,2304177,1153,2303744,1,20,20,428910,886,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304177+1155,BDZZ_BeiLuXinCun2-SF-2100MERR-share_4,联通,SA,2304177,1155,2303744,1,20,20,428910,909,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304177+1152,BDZZ_BeiLuXinCun2-SF-2100MERR-share_1,联通,SA,2304177,1152,2303744,1,20,20,428910,885,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304177+1156,BDZZ_BeiLuXinCun2-SF-2100MERR-share_5,联通,SA,2304177,1156,2303744,1,20,20,428910,910,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301873+1024,BDGB_CheTun_YD2100MERR-share_1,联通,SA,2301873,1024,2301698,1,20,20,428910,171,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301873+1026,BDGB_CheTun_YD2100MERR-share_3,联通,SA,2301873,1026,2301698,1,20,20,428910,173,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301873+1025,BDGB_CheTun_YD2100MERR-share_2,联通,SA,2301873,1025,2301698,1,20,20,428910,172,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350513+1025,CZ_QX_XXZxiaoqutoucunnan2100MTTERR-2-share,联通,SA,2350513,1025,2350082,1,20,20,428910,217,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350513+1024,CZ_QX_XXZxiaoqutoucunnan2100MTTERR-1-share,联通,SA,2350513,1024,2350082,1,20,20,428910,216,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304069+1026,BDZZ_YanWuZhuangCun_DX2100MERR-share_3,联通,SA,2304069,1026,2303744,1,20,20,428910,185,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304069+1024,BDZZ_YanWuZhuangCun_DX2100MERR-share_1,联通,SA,2304069,1024,2303744,1,20,20,428910,183,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304069+1025,BDZZ_YanWuZhuangCun_DX2100MERR-share_2,联通,SA,2304069,1025,2303744,1,20,20,428910,184,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301546+1155,BDBG_XiangXiMeiYuan4E-SF-2100MERR-share_4,联通,SA,2301546,1155,2301440,1,20,20,428910,978,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301546+1153,BDBG_XiangXiMeiYuan4E-SF-2100MERR-share_2,联通,SA,2301546,1153,2301440,1,20,20,428910,982,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301546+1152,BDBG_XiangXiMeiYuan4E-SF-2100MERR-share_1,联通,SA,2301546,1152,2301440,1,20,20,428910,981,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301546+1154,BDBG_XiangXiMeiYuan4E-SF-2100MERR-share_3,联通,SA,2301546,1154,2301440,1,20,20,428910,983,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303902+1024,BDZZ_107XiGaoCun2100MERR-share_1,联通,SA,2303902,1024,2303748,1,20,20,428910,120,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303902+1025,BDZZ_107XiGaoCun2100MERR-share_2,联通,SA,2303902,1025,2303748,1,20,20,428910,121,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344577+1024,CZ_CX_DGTXshijiacun2100MTTERR-1-share,联通,SA,2344577,1024,2344193,1,20,20,428910,480,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350560+1026,CZ_QX_PGXguanzhuangcunbei2100MTTERR-3-share,联通,SA,2350560,1026,2350082,1,20,20,428910,515,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350560+1025,CZ_QX_PGXguanzhuangcunbei2100MTTERR-2-share,联通,SA,2350560,1025,2350082,1,20,20,428910,514,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350560+1024,CZ_QX_PGXguanzhuangcunbei2100MTTERR-1-share,联通,SA,2350560,1024,2350082,1,20,20,428910,513,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350389+1024,CZ_QX_MCZshangMCcun2100MTTERR-1-share,联通,SA,2350389,1024,2350081,1,20,20,428910,429,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350389+1025,CZ_QX_MCZshangMCcun2100MTTERR-2-share,联通,SA,2350389,1025,2350081,1,20,20,428910,430,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350389+1026,CZ_QX_MCZshangMCcun2100MTTERR-3-share,联通,SA,2350389,1026,2350081,1,20,20,428910,431,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303868+1026,BDZZ_DaMaCun2100MERR-share_3,联通,SA,2303868,1026,2303746,1,20,20,428910,110,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303868+1024,BDZZ_DaMaCun2100MERR-share_1,联通,SA,2303868,1024,2303746,1,20,20,428910,108,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303868+1025,BDZZ_DaMaCun2100MERR-share_2,联通,SA,2303868,1025,2303746,1,20,20,428910,109,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350508+1024,CZ_QX_XXZwangchengcunnan2100MTTERR-1-share,联通,SA,2350508,1024,2350082,1,20,20,428910,468,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301445+258,BDBG_XiuShuiDingJuDongB3500MERR-share_3,联通,SA,2301445,258,2301440,1,100,100,633984,521,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301445+257,BDBG_XiuShuiDingJuDongB3500MERR-share_2,联通,SA,2301445,257,2301440,1,100,100,633984,520,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301445+256,BDBG_XiuShuiDingJuDongB3500MERR-share_1,联通,SA,2301445,256,2301440,1,100,100,633984,519,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301445+259,BDBG_TaiGeJianCaiCheng3500MERR-share_1,联通,SA,2301445,259,2301440,1,100,100,633984,264,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301445+260,BDBG_TaiGeJianCaiCheng3500MERR-share_2,联通,SA,2301445,260,2301440,1,100,100,633984,265,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301445+261,BDBG_TaiGeJianCaiCheng3500MERR-share_3,联通,SA,2301445,261,2301440,1,100,100,633984,266,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2304064+1025,BDZZ_XiaoYingCun_YD2100MERR-share_2,联通,SA,2304064,1025,2303744,1,20,20,428910,331,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304064+1026,BDZZ_XiaoYingCun_YD2100MERR-share_3,联通,SA,2304064,1026,2303744,1,20,20,428910,332,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304064+1024,BDZZ_XiaoYingCun_YD2100MERR-share_1,联通,SA,2304064,1024,2303744,1,20,20,428910,330,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350506+1025,CZ_QX_XXZdaqutoucun2100MTTERR-2-share,联通,SA,2350506,1025,2350082,1,20,20,428910,316,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350506+1026,CZ_QX_XXZdaqutoucun2100MTTERR-3-share,联通,SA,2350506,1026,2350082,1,20,20,428910,317,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350506+1024,CZ_QX_XXZdaqutoucun2100MTTERR-1-share,联通,SA,2350506,1024,2350082,1,20,20,428910,315,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301885+1024,BDGB_DongLuoJiaYingCun2100MERR-share_1,联通,SA,2301885,1024,2301698,1,20,20,428910,12,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301885+1025,BDGB_DongLuoJiaYingCun2100MERR-share_2,联通,SA,2301885,1025,2301698,1,20,20,428910,13,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301885+1026,BDGB_DongLuoJiaYingCun2100MERR-share_3,联通,SA,2301885,1026,2301698,1,20,20,428910,14,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350447+1025,CZ_QX_PGXbeiyuerzhuangcun2100MTTERR-2-share,联通,SA,2350447,1025,2350082,1,20,20,428910,325,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350447+1024,CZ_QX_PGXbeiyuerzhuangcun2100MTTERR-1-share,联通,SA,2350447,1024,2350082,1,20,20,428910,324,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304117+1024,BDZZ_NanLuCun2100MERR-share_1,联通,SA,2304117,1024,2303749,1,20,20,428910,477,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304117+1025,BDZZ_NanLuCun2100MERR-share_2,联通,SA,2304117,1025,2303749,1,20,20,428910,478,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304117+1026,BDZZ_NanLuCun2100MERR-share_3,联通,SA,2304117,1026,2303749,1,20,20,428910,479,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301869+1024,BDGB_XieJiaZhuang2100MERR-share_1,联通,SA,2301869,1024,2301697,1,20,20,428910,156,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301869+1025,BDGB_XieJiaZhuang2100MERR-share_2,联通,SA,2301869,1025,2301697,1,20,20,428910,157,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301869+1026,BDGB_XieJiaZhuang2100MERR-share_3,联通,SA,2301869,1026,2301697,1,20,20,428910,158,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301863+1025,BDGB_ShiJiaZhuangCun2100MERR-share_2,联通,SA,2301863,1025,2301696,1,20,20,428910,472,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301863+1024,BDGB_ShiJiaZhuangCun2100MERR-share_1,联通,SA,2301863,1024,2301696,1,20,20,428910,471,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301511+1026,BDBG_LiZhangZhuang_DX2100MERR-share_3,联通,SA,2301511,1026,2301441,1,20,20,428910,59,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301511+1025,BDBG_LiZhangZhuang_DX2100MERR-share_2,联通,SA,2301511,1025,2301441,1,20,20,428910,58,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301511+1024,BDBG_LiZhangZhuang_DX2100MERR-share_1,联通,SA,2301511,1024,2301441,1,20,20,428910,57,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350454+1024,CZ_QX_LHZduanzhuangzicun2100MTTERR-1-share,联通,SA,2350454,1024,2350081,1,20,20,428910,72,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350454+1025,CZ_QX_LHZduanzhuangzicun2100MTTERR-2-share,联通,SA,2350454,1025,2350081,1,20,20,428910,73,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2346260+256,CZ_BT_CQboxinshangshaYDERR-1-share,联通,SA,2346260,256,2346243,1,100,100,633984,123,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2346260+258,CZ_BT_CQboxinshangshaYDERR-3-share,联通,SA,2346260,258,2346243,1,100,100,633984,125,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2346260+257,CZ_BT_CQboxinshangshaYDERR-2-share,联通,SA,2346260,257,2346243,1,100,100,633984,124,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350322+1024,CZ_QX_CZXchenzuicun2100MTTERR-1-share,联通,SA,2350322,1024,2350082,1,20,20,428910,39,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350322+1025,CZ_QX_CZXchenzuicun2100MTTERR-2-share,联通,SA,2350322,1025,2350082,1,20,20,428910,40,427980,n1
2022-08-10 23:24:48,1,1,爱立信,2350322+1026,CZ_QX_CZXchenzuicun2100MTTERR-3-share,联通,SA,2350322,1026,2350082,0,0,20,428910,41,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303885+1024,BDZZ_SongLinDian2100MERR-share_1,联通,SA,2303885,1024,2303748,1,20,20,428910,246,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303885+1025,BDZZ_SongLinDian2100MERR-share_2,联通,SA,2303885,1025,2303748,1,20,20,428910,247,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303885+1026,BDZZ_SongLinDian2100MERR-share_3,联通,SA,2303885,1026,2303748,1,20,20,428910,248,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301774+1024,BDGB_DongCangShangCun_YD2100MERR-share_1,联通,SA,2301774,1024,2301698,1,20,20,428910,36,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301774+1026,BDGB_DongCangShangCun_YD2100MERR-share_3,联通,SA,2301774,1026,2301698,1,20,20,428910,38,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301774+1025,BDGB_DongCangShangCun_YD2100MERR-share_2,联通,SA,2301774,1025,2301698,1,20,20,428910,37,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2301750+257,BDGB_ZhongYangGongGuan3500MERR-share_2,联通,SA,2301750,257,2301696,1,100,100,633984,196,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301750+258,BDGB_ZhongYangGongGuan3500MERR-share_3,联通,SA,2301750,258,2301696,1,100,100,633984,197,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301750+260,BDGB_ZhongHaiYouXiaoQuXinLou3500MERR-share_2,联通,SA,2301750,260,2301696,1,100,100,633984,28,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301750+256,BDGB_ZhongYangGongGuan3500MERR-share_1,联通,SA,2301750,256,2301696,1,100,100,633984,195,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301750+261,BDGB_ZhongHaiYouXiaoQuXinLou3500MERR-share_3,联通,SA,2301750,261,2301696,1,100,100,633984,29,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2301750+259,BDGB_ZhongHaiYouXiaoQuXinLou3500MERR-share_1,联通,SA,2301750,259,2301696,1,100,100,633984,27,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2304118+1026,BDZZ_JiaHeSheQu2100MERR-share_3,联通,SA,2304118,1026,2303747,1,20,20,428910,29,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304118+1024,BDZZ_JiaHeSheQu2100MERR-share_1,联通,SA,2304118,1024,2303747,1,20,20,428910,27,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2304118+1025,BDZZ_JiaHeSheQu2100MERR-share_2,联通,SA,2304118,1025,2303747,1,20,20,428910,28,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344467+257,CZ_CX_DSZlituncunbeiTTERR-2-share,联通,SA,2344467,257,2344193,1,100,100,633984,47,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2344467+256,CZ_CX_DSZlituncunbeiTTERR-1-share,联通,SA,2344467,256,2344193,1,100,100,633984,45,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2344467+258,CZ_CX_DSZlituncunbeiTTERR-3-share,联通,SA,2344467,258,2344193,1,100,100,633984,46,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350442+1025,CZ_QX_PGXsiwotoucunbei2100MTTERR-2-share,联通,SA,2350442,1025,2350082,1,20,20,428910,388,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350442+1026,CZ_QX_PGXsiwotoucunbei2100MTTERR-3-share,联通,SA,2350442,1026,2350082,1,20,20,428910,389,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350442+1024,CZ_QX_PGXsiwotoucunbei2100MTTERR-1-share,联通,SA,2350442,1024,2350082,1,20,20,428910,387,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350276+1024,CZ_QX_CSXxingjiamiaocunnan2100MTTERR-1-share,联通,SA,2350276,1024,2350082,1,20,20,428910,381,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350356+1026,CZ_QX_JNZdaxuzhuangcun2100MTTERR-3-share,联通,SA,2350356,1026,2350081,1,20,20,428910,404,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350356+1025,CZ_QX_JNZdaxuzhuangcun2100MTTERR-2-share,联通,SA,2350356,1025,2350081,1,20,20,428910,403,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350356+1024,CZ_QX_JNZdaxuzhuangcun2100MTTERR-1-share,联通,SA,2350356,1024,2350081,1,20,20,428910,402,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350501+1025,CZ_QX_XXZxiaoxiaozimucun2100MTTERR-2-share,联通,SA,2350501,1025,2350082,1,20,20,428910,607,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350501+1026,CZ_QX_XXZxiaoxiaozimucun2100MTTERR-3-share,联通,SA,2350501,1026,2350082,1,20,20,428910,608,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350501+1024,CZ_QX_XXZxiaoxiaozimucun2100MTTERR-1-share,联通,SA,2350501,1024,2350082,1,20,20,428910,606,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303932+1026,BDZZ_DaYing2100MERR-share_3,联通,SA,2303932,1026,2303744,1,20,20,428910,353,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303932+1025,BDZZ_DaYing2100MERR-share_2,联通,SA,2303932,1025,2303744,1,20,20,428910,352,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2303932+1024,BDZZ_DaYing2100MERR-share_1,联通,SA,2303932,1024,2303744,1,20,20,428910,351,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344519+1026,CZ_CX_DGTXyanglaoyuan2100MTTERR-3-share,联通,SA,2344519,1026,2344193,1,20,20,428910,599,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344519+1025,CZ_CX_DGTXyanglaoyuan2100MTTERR-2-share,联通,SA,2344519,1025,2344193,1,20,20,428910,598,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344519+1024,CZ_CX_DGTXyanglaoyuan2100MTTERR-1-share,联通,SA,2344519,1024,2344193,1,20,20,428910,597,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350327+1026,CZ_QX_CZXhuangzhuang2100MDXERR-3-share,联通,SA,2350327,1026,2350082,1,20,20,428910,383,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350327+1025,CZ_QX_CZXhuangzhuang2100MDXERR-2-share,联通,SA,2350327,1025,2350082,1,20,20,428910,382,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350327+1024,CZ_QX_CZXhuangzhuang2100MDXERR-1-share,联通,SA,2350327,1024,2350082,1,20,20,428910,381,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344511+1025,CZ_CX_DLXqianliulaitangcunxi2100MTTERR-2-share,联通,SA,2344511,1025,2344194,1,20,20,428910,151,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344511+1024,CZ_CX_DLXqianliulaitangcunxi2100MTTERR-1-share,联通,SA,2344511,1024,2344194,1,20,20,428910,150,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344657+1024,CZ_CX_CEZZyancunbei2100MTTERR-1-share,联通,SA,2344657,1024,2344193,1,20,20,428910,327,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350253+256,CZ_QX_CQhuafeichangbeiTTERR-1-share,联通,SA,2350253,256,2350080,1,100,100,633984,12,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350253+258,CZ_QX_CQhuafeichangbeiTTERR-3-share,联通,SA,2350253,258,2350080,1,100,100,633984,14,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350253+257,CZ_QX_CQhuafeichangbeiTTERR-2-share,联通,SA,2350253,257,2350080,1,100,100,633984,13,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2350459+1025,CZ_QX_LHZxiaojiaohecun2100MTTERR-2-share,联通,SA,2350459,1025,2350081,1,20,20,428910,70,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350459+1026,CZ_QX_LHZxiaojiaohecun2100MTTERR-3-share,联通,SA,2350459,1026,2350081,1,20,20,428910,71,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2350459+1024,CZ_QX_LHZxiaojiaohecun2100MTTERR-1-share,联通,SA,2350459,1024,2350081,1,20,20,428910,69,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2344636+1024,CZ_CX_GCXhougaolonghuacun2100MTTERR-1-share,联通,SA,2344636,1024,2344193,1,20,20,428910,456,427980,n1
2022-08-10 23:24:48,1,0,爱立信,2346247+257,CZ_BT_CQjianshejuLTERR-2-share,联通,SA,2346247,257,2346243,1,100,100,633984,601,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2346247+258,CZ_BT_CQjianshejuLTERR-3-share,联通,SA,2346247,258,2346243,1,100,100,633984,602,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2346247+256,CZ_BT_CQjianshejuLTERR-1-share,联通,SA,2346247,256,2346243,1,100,100,633984,600,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303234+256,BDLS_GuangDian3500MERR-share_1,联通,SA,2303234,256,2303233,1,100,100,633984,24,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303234+258,BDLS_GuangDian3500MERR-share_3,联通,SA,2303234,258,2303233,1,100,100,633984,26,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303234+257,BDLS_GuangDian3500MERR-share_2,联通,SA,2303234,257,2303233,1,100,100,633984,25,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303833+261,BDZZ_LianHeYiHaoYuan1HaoLou3500MERR-share_3,联通,SA,2303833,261,2303744,1,100,100,633984,506,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303833+260,BDZZ_LianHeYiHaoYuan1HaoLou3500MERR-share_2,联通,SA,2303833,260,2303744,1,100,100,633984,505,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303833+259,BDZZ_LianHeYiHaoYuan1HaoLou3500MERR-share_1,联通,SA,2303833,259,2303744,1,100,100,633984,504,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303833+257,BDZZ_ZhongXue3500MERR-share_2,联通,SA,2303833,257,2303744,1,100,100,633984,409,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303833+256,BDZZ_ZhongXue3500MERR-share_1,联通,SA,2303833,256,2303744,1,100,100,633984,408,636664,n78
2022-08-10 23:24:48,1,0,爱立信,2303833+258,BDZZ_ZhongXue3500MERR-share_3,联通,SA,2303833,258,2303744,1,100,100,633984,410,636664,n78
